name,description,category
Lipstick,Long-lasting matte lipstick,Beauty
Biography,Inspiring life story of a famous personality,Books
Mystery Novel,A thrilling mystery that keeps you guessing,Books
Foundation,Liquid foundation with natural finish,Beauty
Bluetooth Speaker,Portable speaker with deep bass and Bluetooth support,Electronics
Cookbook,Recipe book with easy-to-follow instructions,Books
Action Figure,Superhero action figure with movable joints,Toys
Fitness Tracker,Wearable fitness tracker with heart rate monitor,Fitness
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Jacket,Warm winter jacket with hood,Clothing
Science Textbook,Comprehensive science textbook for high school,Books
Puzzle,1000-piece jigsaw puzzle for adults,Toys
Wireless Mouse,Compact wireless mouse with ergonomic design,Electronics
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Treadmill,Electric treadmill with speed control,Fitness
Dress,Floral printed casual dress,Clothing
Microwave Oven,700W compact microwave with defrost function,Kitchen
Dumbbells,Adjustable dumbbell set for home workout,Fitness
Science Textbook,Comprehensive science textbook for high school,Books
Science Textbook,Comprehensive science textbook for high school,Books
Sneakers,Comfortable sneakers for daily wear,Clothing
Gaming Keyboard,Mechanical keyboard with RGB lighting,Electronics
Yoga Mat,Non-slip yoga mat with cushioning,Fitness
Dish Rack,Stainless steel rack for dish drying,Kitchen
Fantasy Book,Epic fantasy with dragons and magic,Books
Jacket,Warm winter jacket with hood,Clothing
Fitness Tracker,Wearable fitness tracker with heart rate monitor,Fitness
Face Wash,Gentle foaming cleanser for all skin types,Beauty
Foundation,Liquid foundation with natural finish,Beauty
Dish Rack,Stainless steel rack for dish drying,Kitchen
Mystery Novel,A thrilling mystery that keeps you guessing,Books
Lego Set,Creative building blocks for kids,Toys
Treadmill,Electric treadmill with speed control,Fitness
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Perfume,Floral fragrance with lasting scent,Beauty
Blender,Electric blender for smoothies and sauces,Kitchen
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Puzzle,1000-piece jigsaw puzzle for adults,Toys
Hair Dryer,Compact hair dryer with cool shot button,Beauty
Perfume,Floral fragrance with lasting scent,Beauty
Mystery Novel,A thrilling mystery that keeps you guessing,Books
Dollhouse,Miniature dollhouse with furniture,Toys
Cookbook,Recipe book with easy-to-follow instructions,Books
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Bluetooth Speaker,Portable speaker with deep bass and Bluetooth support,Electronics
Microwave Oven,700W compact microwave with defrost function,Kitchen
Lego Set,Creative building blocks for kids,Toys
Puzzle,1000-piece jigsaw puzzle for adults,Toys
Hair Dryer,Compact hair dryer with cool shot button,Beauty
Biography,Inspiring life story of a famous personality,Books
Lego Set,Creative building blocks for kids,Toys
Hair Dryer,Compact hair dryer with cool shot button,Beauty
Wireless Mouse,Compact wireless mouse with ergonomic design,Electronics
Puzzle,1000-piece jigsaw puzzle for adults,Toys
Lego Set,Creative building blocks for kids,Toys
Dumbbells,Adjustable dumbbell set for home workout,Fitness
Laptop,Lightweight laptop with long battery life and SSD storage,Electronics
Cookbook,Recipe book with easy-to-follow instructions,Books
Fitness Tracker,Wearable fitness tracker with heart rate monitor,Fitness
Jeans,Denim jeans with slim fit,Clothing
Board Game,Strategy board game for 2-4 players,Toys
Bluetooth Speaker,Portable speaker with deep bass and Bluetooth support,Electronics
Board Game,Strategy board game for 2-4 players,Toys
Jeans,Denim jeans with slim fit,Clothing
Sneakers,Comfortable sneakers for daily wear,Clothing
Dress,Floral printed casual dress,Clothing
Fitness Tracker,Wearable fitness tracker with heart rate monitor,Fitness
Jeans,Denim jeans with slim fit,Clothing
Yoga Mat,Non-slip yoga mat with cushioning,Fitness
Jacket,Warm winter jacket with hood,Clothing
